N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P117;2009-09-09;2009-09-09;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2009-09-22;2009-09-22;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P117;2009-10-07;2009-10-07;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P117;2010-05-29;2010-05-29;Traitement;Fongicide;-;0;0;0;0;0;0;0.9;0;1
P117;2009-11-29;2009-11-29;Traitement;Herbicide;-;0;0;0;0;0;0.5;0;0;0
P117;2010-05-08;2010-05-08;Traitement;Fongicide;-;0;0;0;0;0;0;0.76;0;0
P117;2010-04-07;2010-04-07;Traitement;Herbicide;-;0;0;0;0;0;1.94545454545454;0;0;0
P117;2009-10-31;2009-10-31;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1.19047619047619
P117;2010-03-05;2010-03-05;Fertilisation;N;_;56;50;0;0;0;0;0;0;0
P117;2010-03-05;2010-03-05;Fertilisation;N;_;48;0;0;0;0;0;0;0;0
P117;2010-03-05;2010-03-05;Fertilisation;N;_;36;0;0;0;0;0;0;0;0
P117;2010-03-05;2010-03-05;Fertilisation;N;_;41;0;0;0;0;0;0;0;0
P117;2011-05-02;2011-09-30;Culture;Culture principale;Soja;0;0;0;0;0;0;0;0;0
P117;2011-09-30;2011-09-30;Recolte;Culture principale;Soja;0;0;0;0;0;0;0;0;0
P117;2010-07-26;2010-07-26;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P117;2010-08-05;2010-08-05;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2010-08-07;2010-08-07;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P117;2010-10-28;2010-10-28;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2010-10-28;2010-10-28;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2011-01-04;2011-01-04;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P117;2011-04-06;2011-04-06;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P117;2011-05-27;2011-05-27;Traitement;Herbicide;-;0;0;0;0;0;1.28916666666667;0;0;0
P117;2011-06-04;2011-06-04;Traitement;Herbicide;-;0;0;0;0;0;1.28916666666667;0;0;0
P117;2011-05-03;2011-05-03;Traitement;Herbicide;-;0;0;0;0;0;1.27173913043478;0;0;0
P117;2011-05-02;2011-05-02;Traitement;Herbicide;-;0;0;0;0;0;1.42380952380952;0;0;0
P117;2010-10-27;2010-10-27;Fertilisation;P;_;0;51;51;0;0;0;0;0;0
P117;2011-10-06;2012-07-18;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2012-07-18;2012-07-18;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2011-09-27;2011-09-27;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2011-11-23;2011-11-23;Traitement;Herbicide;-;0;0;0;0;0;3.3402;0;0;0
P117;2012-05-07;2012-05-07;Traitement;Fongicide;-;0;0;0;0;0;0;1.54124242424242;0;0
P117;2012-05-24;2012-05-24;Traitement;Fongicide;-;0;0;0;0;0;0;1.77133333333333;0;0
P117;2012-02-22;2012-02-22;Fertilisation;N;_;46;0;0;0;0;0;0;0;0
P117;2012-02-22;2012-02-22;Fertilisation;N;_;86;0;0;0;0;0;0;0;0
P117;2012-02-22;2012-02-22;Fertilisation;N;_;31;0;0;0;0;0;0;0;0
P117;2012-02-22;2012-02-22;Fertilisation;N;_;22;0;0;0;0;0;0;0;0
P117;2012-02-22;2012-02-22;Fertilisation;P;_;0;45;0;0;0;0;0;0;0
P117;2012-10-03;2013-08-05;Culture;Culture principale;Moutarde_brune;0;0;0;0;0;0;0;0;0
P117;2013-08-05;2013-08-05;Recolte;Culture principale;Moutarde_brune;0;0;0;0;0;0;0;0;0
P117;2012-07-30;2012-08-01;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2012-08-08;2012-08-10;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2012-08-09;2012-08-10;Travail-sol;Roulage;_;0;0;0;0;0;0;0;0;0
P117;2012-08-20;2012-08-24;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P117;2012-09-03;2012-09-04;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P117;2013-05-13;2013-05-13;Traitement;Fongicide;-;0;0;0;0;0;0;5.77;0;0
P117;2013-04-15;2013-04-15;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;4.80566666666667
P117;2012-11-16;2012-11-16;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.4155;0
P117;2012-10-02;2012-10-02;Traitement;Herbicide;-;0;0;0;0;0;1.4194;0;0;0
P117;2012-10-04;2012-10-04;Traitement;Herbicide;-;0;0;0;0;0;0.3808;0;0;0
P117;2012-10-15;2012-10-15;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;1.0030303030303
P117;2013-02-22;2013-02-22;Fertilisation;N;_;50;0;0;0;0;0;0;0;0
P117;2013-02-22;2013-02-22;Fertilisation;N;_;39;0;0;0;0;0;0;0;0
P117;2013-02-22;2013-02-22;Fertilisation;N;_;26;0;0;0;0;0;0;0;0
P117;2013-02-22;2013-02-22;Fertilisation;P;_;0;45;0;0;0;0;0;0;0
P117;2013-02-22;2013-02-22;Fertilisation;K;_;0;0;45;23;0;0;0;0;0
P117;2013-02-22;2013-02-22;Fertilisation;S;_;0;0;0;0;95;0;0;0;0
P117;2013-10-09;2014-07-18;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2014-07-18;2014-07-18;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2013-08-10;2013-08-16;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P117;2013-08-20;2013-08-23;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P117;2013-09-24;2013-09-29;Travail-sol;Decompactage;_;0;0;0;0;0;0;0;0;0
P117;2013-10-08;2013-10-08;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P117;2014-01-17;2014-01-17;Traitement;Herbicide;-;0;0;0;0;0;2.3135;0;0;0
P117;2014-03-28;2014-03-28;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P117;2014-04-23;2014-04-24;Traitement;Fongicide;-;0;0;0;0;0;0;6.044;0;0
P117;2014-02-24;2014-02-25;Fertilisation;N;_;0;0;0;0;0;0;0;0;0
P117;2014-02-24;2014-02-25;Fertilisation;N;_;50;0;0;0;0;0;0;0;0
P117;2014-02-24;2014-02-25;Fertilisation;N;_;79;0;0;0;0;0;0;0;0
P117;2014-02-24;2014-02-25;Fertilisation;MG;_;0;0;0;28;56;0;0;0;0
